LAST SEEN   TYPE      REASON                  OBJECT                                                              MESSAGE
60m         Normal    Started                 pod/dx-deployment-content-composer-79d7fd546f-zd78t                 Started container content-composer
60m         Normal    Created                 pod/dx-deployment-content-composer-79d7fd546f-zd78t                 Created container: content-composer
60m         Normal    Pulled                  pod/dx-deployment-content-composer-79d7fd546f-zd78t                 Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-content-composer:v1.44.0_20251024-1345" already present on machine
60m         Normal    Scheduled               pod/dx-deployment-digital-asset-management-0                        Successfully assigned digital-experience/dx-deployment-digital-asset-management-0 to worker-0
60m         Normal    AddedInterface          pod/dx-deployment-digital-asset-management-0                        Add eth0 [10.128.3.195/23] from ovn-kubernetes
60m         Normal    Started                 pod/dx-deployment-haproxy-8cc95c9c9-x6jsd                           Started container haproxy
60m         Normal    Created                 pod/dx-deployment-haproxy-8cc95c9c9-x6jsd                           Created container: haproxy
60m         Normal    ExternalProvisioning    persistentvolumeclaim/customization-dx-deployment-web-engine-0      Waiting for a volume to be created either by the external provisioner 'cluster.local/nfs-client-nfs-subdir-external-provisioner' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
60m         Normal    Pulled                  pod/dx-deployment-digital-asset-management-0                        Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-prereqs-checker:v1.0.0_20251024-1353" already present on machine
60m         Normal    Pulled                  pod/dx-deployment-haproxy-8cc95c9c9-x6jsd                           Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-haproxy:v1.27.0_20251024-1338" already present on machine
60m         Normal    AddedInterface          pod/dx-deployment-haproxy-8cc95c9c9-x6jsd                           Add eth0 [10.129.2.147/23] from ovn-kubernetes
60m         Normal    AddedInterface          pod/dx-deployment-content-composer-79d7fd546f-zd78t                 Add eth0 [10.128.3.194/23] from ovn-kubernetes
60m         Normal    SuccessfulCreate        statefulset/dx-deployment-persistence-node                          create Claim database-dx-deployment-persistence-node-0 Pod dx-deployment-persistence-node-0 in StatefulSet dx-deployment-persistence-node success
60m         Normal    SuccessfulCreate        statefulset/dx-deployment-persistence-node                          create Pod dx-deployment-persistence-node-0 in StatefulSet dx-deployment-persistence-node successful
60m         Normal    SuccessfulCreate        statefulset/dx-deployment-digital-asset-management                  create Pod dx-deployment-digital-asset-management-0 in StatefulSet dx-deployment-digital-asset-management successful
60m         Normal    Scheduled               pod/dx-deployment-persistence-node-0                                Successfully assigned digital-experience/dx-deployment-persistence-node-0 to worker-2
60m         Normal    AddedInterface          pod/dx-deployment-ring-api-69d69497d5-74j5k                         Add eth0 [10.129.2.150/23] from ovn-kubernetes
60m         Normal    Pulled                  pod/dx-deployment-ring-api-69d69497d5-74j5k                         Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-ringapi:v1.44.0_20251024-1347" already present on machine
60m         Warning   FailedScheduling        pod/dx-deployment-persistence-node-0                                0/6 nodes are available: pod has unbound immediate PersistentVolumeClaims. preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling.
60m         Normal    Provisioning            persistentvolumeclaim/database-dx-deployment-persistence-node-0     External provisioner is provisioning volume for claim "digital-experience/database-dx-deployment-persistence-node-0"
60m         Normal    Started                 pod/dx-deployment-persistence-connection-pool-7c47cc988f-swklz      Started container persistence-connection-pool
60m         Normal    SuccessfulCreate        statefulset/dx-deployment-web-engine                                create Claim log-dx-deployment-web-engine-0 Pod dx-deployment-web-engine-0 in StatefulSet dx-deployment-web-engine success
60m         Normal    SuccessfulCreate        statefulset/dx-deployment-web-engine                                create Claim customization-dx-deployment-web-engine-0 Pod dx-deployment-web-engine-0 in StatefulSet dx-deployment-web-engine success
60m         Normal    Created                 pod/dx-deployment-persistence-connection-pool-7c47cc988f-swklz      Created container: persistence-connection-pool
60m         Normal    Pulled                  pod/dx-deployment-persistence-connection-pool-7c47cc988f-swklz      Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-persistence-connection-pool:v1.41.0_20251024-1356" already present on machine
60m         Normal    ProvisioningSucceeded   persistentvolumeclaim/database-dx-deployment-persistence-node-0     Successfully provisioned volume pvc-ea3719a3-b5f0-4d77-ac7f-c0628c678607
60m         Normal    ExternalProvisioning    persistentvolumeclaim/database-dx-deployment-persistence-node-0     Waiting for a volume to be created either by the external provisioner 'cluster.local/nfs-client-nfs-subdir-external-provisioner' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
60m         Normal    Scheduled               pod/dx-deployment-web-engine-0                                      Successfully assigned digital-experience/dx-deployment-web-engine-0 to worker-1
60m         Warning   FailedScheduling        pod/dx-deployment-web-engine-0                                      0/6 nodes are available: pod has unbound immediate PersistentVolumeClaims. preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling.
60m         Normal    ExternalProvisioning    persistentvolumeclaim/log-dx-deployment-web-engine-0                Waiting for a volume to be created either by the external provisioner 'cluster.local/nfs-client-nfs-subdir-external-provisioner' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
60m         Normal    Provisioning            persistentvolumeclaim/log-dx-deployment-web-engine-0                External provisioner is provisioning volume for claim "digital-experience/log-dx-deployment-web-engine-0"
60m         Normal    ProvisioningSucceeded   persistentvolumeclaim/log-dx-deployment-web-engine-0                Successfully provisioned volume pvc-ea21104a-d4f1-4d40-ab48-50d9ec236706
60m         Normal    ProvisioningSucceeded   persistentvolumeclaim/customization-dx-deployment-web-engine-0      Successfully provisioned volume pvc-649e4a1f-6fb4-4436-8cf1-64b699bc424c
60m         Normal    Provisioning            persistentvolumeclaim/customization-dx-deployment-web-engine-0      External provisioner is provisioning volume for claim "digital-experience/customization-dx-deployment-web-engine-0"
60m         Normal    Pulled                  pod/dx-deployment-image-processor-747c9457fc-jjxfr                  Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-image-processor:v1.44.0_20251024-1405" already present on machine
60m         Normal    AddedInterface          pod/dx-deployment-persistence-connection-pool-7c47cc988f-swklz      Add eth0 [10.129.2.146/23] from ovn-kubernetes
60m         Normal    Started                 pod/dx-deployment-image-processor-747c9457fc-jjxfr                  Started container image-processor
60m         Normal    AddedInterface          pod/dx-deployment-web-engine-0                                      Add eth0 [10.129.2.151/23] from ovn-kubernetes
60m         Normal    Pulled                  pod/dx-deployment-web-engine-0                                      Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-webengine:CF231_20251025-2351" already present on machine
60m         Normal    Created                 pod/dx-deployment-web-engine-0                                      Created container: web-engine
60m         Normal    Created                 pod/dx-deployment-digital-asset-management-0                        Created container: prereqs-checker
60m         Normal    Started                 pod/dx-deployment-runtime-controller-7b474b9bbf-j4npp               Started container runtime-controller
60m         Normal    Created                 pod/dx-deployment-runtime-controller-7b474b9bbf-j4npp               Created container: runtime-controller
60m         Normal    Pulled                  pod/dx-deployment-runtime-controller-7b474b9bbf-j4npp               Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-runtime-controller:v95_CF231_20251024-1351" already present on machine
60m         Normal    AddedInterface          pod/dx-deployment-runtime-controller-7b474b9bbf-j4npp               Add eth0 [10.129.2.148/23] from ovn-kubernetes
60m         Normal    Started                 pod/dx-deployment-web-engine-0                                      Started container web-engine
60m         Normal    Pulled                  pod/dx-deployment-web-engine-0                                      Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-logging-sidecar:v1.0.0_20251024-1349" already present on machine
60m         Normal    Created                 pod/dx-deployment-web-engine-0                                      Created container: system-out-log
60m         Normal    Started                 pod/dx-deployment-web-engine-0                                      Started container system-out-log
60m         Normal    Pulled                  pod/dx-deployment-web-engine-0                                      Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-logging-sidecar:v1.0.0_20251024-1349" already present on machine
60m         Normal    Created                 pod/dx-deployment-web-engine-0                                      Created container: trace-log
60m         Warning   Unhealthy               pod/dx-deployment-haproxy-8cc95c9c9-x6jsd                           Readiness probe failed: Get "http://10.129.2.147:10001/": dial tcp 10.129.2.147:10001: connect: connection refused
60m         Normal    Started                 pod/dx-deployment-digital-asset-management-0                        Started container prereqs-checker
60m         Normal    Started                 pod/dx-deployment-ring-api-69d69497d5-74j5k                         Started container ring-api
60m         Normal    Created                 pod/dx-deployment-image-processor-747c9457fc-jjxfr                  Created container: image-processor
60m         Normal    Created                 pod/dx-deployment-ring-api-69d69497d5-74j5k                         Created container: ring-api
60m         Normal    Started                 pod/dx-deployment-web-engine-0                                      Started container trace-log
59m         Normal    Pulled                  pod/dx-deployment-persistence-node-0                                Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-prereqs-checker:v1.0.0_20251024-1353" already present on machine
59m         Normal    AddedInterface          pod/dx-deployment-persistence-node-0                                Add eth0 [10.131.1.72/23] from ovn-kubernetes
59m         Normal    Created                 pod/dx-deployment-persistence-node-0                                Created container: prereqs-checker
59m         Normal    Pulled                  pod/dx-deployment-persistence-node-0                                Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-persistence-metrics-exporter:v1.39.0_20251024-1357" already present on machine
59m         Normal    Created                 pod/dx-deployment-persistence-node-0                                Created container: persistence-metrics-exporter
59m         Normal    Started                 pod/dx-deployment-persistence-node-0                                Started container persistence-metrics-exporter
59m         Normal    Started                 pod/dx-deployment-persistence-node-0                                Started container prereqs-checker
59m         Normal    Created                 pod/dx-deployment-persistence-node-0                                Created container: persistence-repmgr-log
59m         Normal    Pulled                  pod/dx-deployment-persistence-node-0                                Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-logging-sidecar:v1.0.0_20251024-1349" already present on machine
59m         Normal    Started                 pod/dx-deployment-persistence-node-0                                Started container persistence-repmgr-log
59m         Warning   Unhealthy               pod/dx-deployment-persistence-connection-pool-7c47cc988f-swklz      Liveness probe failed: NEW_DB_MANAGEMENT not enabled - pgPool will not be managed via the runtime controller
[38;5;6mpgpool [38;5;5m18:31:19.20 [0m[38;5;2mINFO [0m ==> Checking pgpool health...
psql: error: connection to server on socket "/tmp/.s.PGSQL.5432" failed: FATAL:  failed to create a backend connection
DETAIL:  executing failover on backend
59m         Warning   Unhealthy               pod/dx-deployment-runtime-controller-7b474b9bbf-j4npp               Liveness probe failed: Get "http://10.129.2.148:3000/q/health/live": dial tcp 10.129.2.148:3000: connect: connection refused
59m         Warning   Unhealthy               pod/dx-deployment-persistence-connection-pool-7c47cc988f-swklz      Readiness probe failed: NEW_DB_MANAGEMENT not enabled - pgPool will not be managed via the runtime controller
[38;5;6mpgpool [38;5;5m18:31:22.55 [0m[38;5;2mINFO [0m ==> Checking pgpool health...
psql: error: connection to server on socket "/tmp/.s.PGSQL.5432" failed: FATAL:  failed to create a backend connection
DETAIL:  executing failover on backend
59m         Warning   Unhealthy               pod/dx-deployment-persistence-node-0                                Readiness probe failed: Postgres Server is not ready
psql: error: connection to server on socket "/run/postgresql/.s.PGSQL.5432" failed: No such file or directory
            Is the server running locally and accepting connections on that socket?
59m         Normal    Created                 pod/dx-deployment-persistence-node-0                                Created container: persistence-node
59m         Normal    Pulled                  pod/dx-deployment-persistence-node-0                                Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-persistence-node:v1.31_20251024-1354" already present on machine
59m         Normal    Started                 pod/dx-deployment-persistence-node-0                                Started container persistence-node
59m         Warning   Unhealthy               pod/dx-deployment-ring-api-69d69497d5-74j5k                         Liveness probe failed: Get "http://10.129.2.150:3000/probe/live": dial tcp 10.129.2.150:3000: connect: connection refused
58m         Warning   Unhealthy               pod/dx-deployment-ring-api-69d69497d5-74j5k                         Readiness probe failed: Get "http://10.129.2.150:3000/probe/ready": dial tcp 10.129.2.150:3000: connect: connection refused
