NAME                                                              TYPE                      DATA   AGE
builder-dockercfg-vmgcs                                           kubernetes.io/dockercfg   1      33d
custom-credentials-webengine-dbdomain-secret                      Opaque                    1      8h
custom-credentials-webengine-dbtype-secret                        Opaque                    1      8h
default-dockercfg-2lmp9                                           kubernetes.io/dockercfg   1      33d
deployer-dockercfg-qr8ht                                          kubernetes.io/dockercfg   1      33d
dx-custom-certs                                                   Opaque                    1      15d
dx-deployment-core-wps                                            Opaque                    2      18m
dx-deployment-image-processor-authentication                      Opaque                    1      18m
dx-deployment-persistence-connection-pool-admin                   Opaque                    2      18m
dx-deployment-persistence-dam-user                                Opaque                    2      18m
dx-deployment-persistence-dam-user-previous-value                 Opaque                    2      18m
dx-deployment-persistence-replication                             Opaque                    2      18m
dx-deployment-persistence-replication-previous-value              Opaque                    2      18m
dx-deployment-persistence-user                                    Opaque                    2      18m
dx-deployment-persistence-user-previous-value                     Opaque                    2      18m
dx-deployment-runtime-controller-digit-c0fe4bd3-dockercfg-pnkf2   kubernetes.io/dockercfg   1      18m
dx-deployment-web-engine-content-ai                               Opaque                    1      18m
dx-deployment-web-engine-dbdomain                                 Opaque                    1      18m
dx-deployment-web-engine-dbtype                                   Opaque                    1      18m
dx-deployment-web-engine-wps                                      Opaque                    2      18m
dx-tls-cert                                                       kubernetes.io/tls         2      33d
dx-truststore                                                     Opaque                    1      15d
ldap-credentials                                                  Opaque                    2      11d
pushcreadentials                                                  Opaque                    2      7h
search-admin-cert                                                 Opaque                    3      33d
search-client-cert                                                Opaque                    3      33d
search-node-cert                                                  Opaque                    3      33d
searchadmincreadentials                                           Opaque                    2      7h
sh.helm.release.v1.dx-deployment.v1                               helm.sh/release.v1        1      18m
sh.helm.release.v1.dx-deployment.v2                               helm.sh/release.v1        1      3m3s
web-engine-secret                                                 Opaque                    2      12d
