NAME                                                         READY   STATUS    RESTARTS      AGE     IP             NODE       NOMINATED NODE   READINESS GATES
dx-deployment-content-composer-79d7fd546f-vljjr              1/1     Running   0             18m     10.129.2.161   worker-1   <none>           <none>
dx-deployment-digital-asset-management-0                     2/2     Running   5 (16m ago)   18m     10.128.3.202   worker-0   <none>           <none>
dx-deployment-haproxy-8cc95c9c9-gj2gl                        1/1     Running   0             18m     10.128.3.200   worker-0   <none>           <none>
dx-deployment-image-processor-747c9457fc-d4w8l               1/1     Running   0             18m     10.129.2.158   worker-1   <none>           <none>
dx-deployment-persistence-connection-pool-7c47cc988f-nkfr2   1/1     Running   1 (16m ago)   18m     10.129.2.160   worker-1   <none>           <none>
dx-deployment-persistence-node-0                             4/4     Running   1 (18m ago)   18m     10.131.1.75    worker-2   <none>           <none>
dx-deployment-ring-api-69d69497d5-zg9mj                      1/1     Running   0             18m     10.128.3.201   worker-0   <none>           <none>
dx-deployment-runtime-controller-7b474b9bbf-dvkkm            1/1     Running   0             18m     10.129.2.159   worker-1   <none>           <none>
dx-deployment-web-engine-0                                   3/3     Running   0             2m52s   10.129.2.163   worker-1   <none>           <none>
