LAST SEEN   TYPE      REASON                  OBJECT                                                            MESSAGE
15m         Normal    Scheduled               pod/dx-deployment-content-composer-79d7fd546f-sdgbd               Successfully assigned digital-experience/dx-deployment-content-composer-79d7fd546f-sdgbd to worker-0
15m         Normal    Scheduled               pod/dx-deployment-ring-api-69d69497d5-pdcvj                       Successfully assigned digital-experience/dx-deployment-ring-api-69d69497d5-pdcvj to worker-0
15m         Normal    SuccessfulCreate        statefulset/dx-deployment-persistence-node                        create Pod dx-deployment-persistence-node-0 in StatefulSet dx-deployment-persistence-node successful
15m         Normal    SuccessfulCreate        statefulset/dx-deployment-persistence-node                        create Claim database-dx-deployment-persistence-node-0 Pod dx-deployment-persistence-node-0 in StatefulSet dx-deployment-persistence-node success
15m         Normal    SuccessfulCreate        replicaset/dx-deployment-image-processor-747c9457fc               Created pod: dx-deployment-image-processor-747c9457fc-vtt5b
15m         Normal    ScalingReplicaSet       deployment/dx-deployment-image-processor                          Scaled up replica set dx-deployment-image-processor-747c9457fc from 0 to 1
15m         Normal    Scheduled               pod/dx-deployment-persistence-connection-pool-7c47cc988f-qfl2c    Successfully assigned digital-experience/dx-deployment-persistence-connection-pool-7c47cc988f-qfl2c to worker-1
15m         Normal    ProvisioningSucceeded   persistentvolumeclaim/log-dx-deployment-web-engine-0              Successfully provisioned volume pvc-66aff724-e675-4ae7-b7fc-635a9d651f37
15m         Normal    Provisioning            persistentvolumeclaim/database-dx-deployment-persistence-node-0   External provisioner is provisioning volume for claim "digital-experience/database-dx-deployment-persistence-node-0"
15m         Normal    ExternalProvisioning    persistentvolumeclaim/database-dx-deployment-persistence-node-0   Waiting for a volume to be created either by the external provisioner 'cluster.local/nfs-client-nfs-subdir-external-provisioner' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
15m         Normal    ProvisioningSucceeded   persistentvolumeclaim/customization-dx-deployment-web-engine-0    Successfully provisioned volume pvc-3c185db5-d872-43ef-91d8-ae263ffcfadc
15m         Normal    ScalingReplicaSet       deployment/dx-deployment-persistence-connection-pool              Scaled up replica set dx-deployment-persistence-connection-pool-7c47cc988f from 0 to 1
15m         Normal    SuccessfulCreate        replicaset/dx-deployment-persistence-connection-pool-7c47cc988f   Created pod: dx-deployment-persistence-connection-pool-7c47cc988f-qfl2c
15m         Normal    Provisioning            persistentvolumeclaim/customization-dx-deployment-web-engine-0    External provisioner is provisioning volume for claim "digital-experience/customization-dx-deployment-web-engine-0"
15m         Normal    Started                 pod/dx-deployment-haproxy-8cc95c9c9-v8hl5                         Started container haproxy
15m         Normal    AddedInterface          pod/dx-deployment-image-processor-747c9457fc-vtt5b                Add eth0 [10.129.3.174/23] from ovn-kubernetes
15m         Normal    ProvisioningSucceeded   persistentvolumeclaim/database-dx-deployment-persistence-node-0   Successfully provisioned volume pvc-9c8b12de-d408-4902-8c3a-968868f83a5e
15m         Normal    AddedInterface          pod/dx-deployment-content-composer-79d7fd546f-sdgbd               Add eth0 [10.128.3.64/23] from ovn-kubernetes
15m         Normal    Pulled                  pod/dx-deployment-content-composer-79d7fd546f-sdgbd               Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-content-composer:v1.44.0_20251024-1345" already present on machine
15m         Normal    Created                 pod/dx-deployment-content-composer-79d7fd546f-sdgbd               Created container: content-composer
15m         Normal    Started                 pod/dx-deployment-content-composer-79d7fd546f-sdgbd               Started container content-composer
15m         Normal    Started                 pod/dx-deployment-web-engine-0                                    Started container trace-log
15m         Normal    Created                 pod/dx-deployment-web-engine-0                                    Created container: trace-log
15m         Normal    Pulled                  pod/dx-deployment-web-engine-0                                    Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-logging-sidecar:v1.0.0_20251024-1349" already present on machine
15m         Normal    Started                 pod/dx-deployment-web-engine-0                                    Started container system-out-log
15m         Normal    Created                 pod/dx-deployment-web-engine-0                                    Created container: system-out-log
15m         Normal    Pulled                  pod/dx-deployment-web-engine-0                                    Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-logging-sidecar:v1.0.0_20251024-1349" already present on machine
15m         Normal    Started                 pod/dx-deployment-web-engine-0                                    Started container web-engine
15m         Normal    Created                 pod/dx-deployment-web-engine-0                                    Created container: web-engine
15m         Normal    AddedInterface          pod/dx-deployment-persistence-connection-pool-7c47cc988f-qfl2c    Add eth0 [10.129.3.173/23] from ovn-kubernetes
15m         Warning   FailedScheduling        pod/dx-deployment-persistence-node-0                              0/6 nodes are available: pod has unbound immediate PersistentVolumeClaims. preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling.
15m         Normal    Scheduled               pod/dx-deployment-persistence-node-0                              Successfully assigned digital-experience/dx-deployment-persistence-node-0 to worker-2
15m         Normal    Pulled                  pod/dx-deployment-web-engine-0                                    Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-webengine:CF231_20251025-2351" already present on machine
15m         Normal    AddedInterface          pod/dx-deployment-web-engine-0                                    Add eth0 [10.129.3.176/23] from ovn-kubernetes
15m         Normal    AddedInterface          pod/dx-deployment-digital-asset-management-0                      Add eth0 [10.128.3.66/23] from ovn-kubernetes
15m         Normal    Pulled                  pod/dx-deployment-digital-asset-management-0                      Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-prereqs-checker:v1.0.0_20251024-1353" already present on machine
15m         Normal    Created                 pod/dx-deployment-digital-asset-management-0                      Created container: prereqs-checker
15m         Normal    Started                 pod/dx-deployment-digital-asset-management-0                      Started container prereqs-checker
15m         Normal    Started                 pod/dx-deployment-runtime-controller-7b474b9bbf-8vxkk             Started container runtime-controller
15m         Normal    Created                 pod/dx-deployment-runtime-controller-7b474b9bbf-8vxkk             Created container: runtime-controller
15m         Normal    Pulled                  pod/dx-deployment-runtime-controller-7b474b9bbf-8vxkk             Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-runtime-controller:v95_CF231_20251024-1351" already present on machine
15m         Normal    AddedInterface          pod/dx-deployment-runtime-controller-7b474b9bbf-8vxkk             Add eth0 [10.128.3.65/23] from ovn-kubernetes
15m         Normal    AddedInterface          pod/dx-deployment-haproxy-8cc95c9c9-v8hl5                         Add eth0 [10.129.3.175/23] from ovn-kubernetes
15m         Normal    Pulled                  pod/dx-deployment-haproxy-8cc95c9c9-v8hl5                         Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-haproxy:v1.27.0_20251024-1338" already present on machine
15m         Normal    Created                 pod/dx-deployment-haproxy-8cc95c9c9-v8hl5                         Created container: haproxy
15m         Warning   Unhealthy               pod/dx-deployment-haproxy-8cc95c9c9-v8hl5                         Readiness probe failed: Get "http://10.129.3.175:10001/": dial tcp 10.129.3.175:10001: connect: connection refused
15m         Normal    Started                 pod/dx-deployment-image-processor-747c9457fc-vtt5b                Started container image-processor
15m         Normal    Created                 pod/dx-deployment-image-processor-747c9457fc-vtt5b                Created container: image-processor
15m         Normal    Pulled                  pod/dx-deployment-image-processor-747c9457fc-vtt5b                Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-image-processor:v1.44.0_20251024-1405" already present on machine
15m         Normal    AddedInterface          pod/dx-deployment-ring-api-69d69497d5-pdcvj                       Add eth0 [10.128.3.63/23] from ovn-kubernetes
15m         Normal    Pulled                  pod/dx-deployment-ring-api-69d69497d5-pdcvj                       Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-ringapi:v1.44.0_20251024-1347" already present on machine
15m         Normal    Created                 pod/dx-deployment-ring-api-69d69497d5-pdcvj                       Created container: ring-api
15m         Normal    Started                 pod/dx-deployment-ring-api-69d69497d5-pdcvj                       Started container ring-api
