
"FECHA_UTC","USUARIO","ACCION","ERROR_CODE","COMANDO"
"05-01-2026 18:28:11","WPSUSER","CREATE TABLE",955,
"05-01-2026 18:28:51","WPSUSER","CREATE TABLE",955,
"05-01-2026 18:28:51","WPSUSER","CREATE TABLE",955,
"05-01-2026 18:28:51","WPSUSER","CREATE TABLE",955,
