NAME                                                              TYPE                      DATA   AGE
builder-dockercfg-vmgcs                                           kubernetes.io/dockercfg   1      39d
custom-credentials-webengine-dbdomain-secret                      Opaque                    1      6d10h
custom-credentials-webengine-dbtype-secret                        Opaque                    1      6d10h
default-dockercfg-2lmp9                                           kubernetes.io/dockercfg   1      39d
deployer-dockercfg-qr8ht                                          kubernetes.io/dockercfg   1      39d
dx-custom-certs                                                   Opaque                    1      21d
dx-deployment-core-wps                                            Opaque                    2      16m
dx-deployment-image-processor-authentication                      Opaque                    1      16m
dx-deployment-peopleservice-database                              Opaque                    2      11m
dx-deployment-peopleservice-jwt                                   Opaque                    1      11m
dx-deployment-persistence-connection-pool-admin                   Opaque                    2      16m
dx-deployment-persistence-dam-user                                Opaque                    2      16m
dx-deployment-persistence-dam-user-previous-value                 Opaque                    2      16m
dx-deployment-persistence-replication                             Opaque                    2      16m
dx-deployment-persistence-replication-previous-value              Opaque                    2      16m
dx-deployment-persistence-user                                    Opaque                    2      16m
dx-deployment-persistence-user-previous-value                     Opaque                    2      16m
dx-deployment-runtime-controller-digit-c0fe4bd3-dockercfg-lzpx6   kubernetes.io/dockercfg   1      16m
dx-deployment-web-engine-content-ai                               Opaque                    1      16m
dx-deployment-web-engine-dbdomain                                 Opaque                    1      16m
dx-deployment-web-engine-dbtype                                   Opaque                    1      16m
dx-deployment-web-engine-ldap                                     Opaque                    2      10m
dx-deployment-web-engine-wps                                      Opaque                    2      16m
dx-tls-cert                                                       kubernetes.io/tls         2      39d
dx-truststore                                                     Opaque                    1      21d
ldap-credentials                                                  Opaque                    2      18d
pushcreadentials                                                  Opaque                    2      6d8h
search-admin-cert                                                 Opaque                    3      39d
search-client-cert                                                Opaque                    3      39d
search-node-cert                                                  Opaque                    3      39d
searchadmincreadentials                                           Opaque                    2      6d8h
sh.helm.release.v1.dx-deployment.v1                               helm.sh/release.v1        1      16m
sh.helm.release.v1.dx-deployment.v2                               helm.sh/release.v1        1      12m
sh.helm.release.v1.dx-deployment.v3                               helm.sh/release.v1        1      11m
web-engine-secret                                                 Opaque                    2      18d
