NAME                                                         READY   STATUS    RESTARTS      AGE   IP             NODE       NOMINATED NODE   READINESS GATES
dx-deployment-content-composer-79d7fd546f-v75fl              1/1     Running   0             24m   10.129.3.118   worker-1   <none>           <none>
dx-deployment-digital-asset-management-0                     2/2     Running   5 (22m ago)   24m   10.128.3.203   worker-0   <none>           <none>
dx-deployment-haproxy-8cc95c9c9-4f25c                        1/1     Running   0             24m   10.128.3.201   worker-0   <none>           <none>
dx-deployment-image-processor-747c9457fc-hx6cq               1/1     Running   0             24m   10.129.3.116   worker-1   <none>           <none>
dx-deployment-persistence-connection-pool-7c47cc988f-9jc6g   1/1     Running   1 (21m ago)   24m   10.129.3.119   worker-1   <none>           <none>
dx-deployment-persistence-node-0                             4/4     Running   1 (23m ago)   24m   10.131.0.55    worker-2   <none>           <none>
dx-deployment-ring-api-69d69497d5-rxk72                      1/1     Running   0             24m   10.128.3.202   worker-0   <none>           <none>
dx-deployment-runtime-controller-7b474b9bbf-lk89f            1/1     Running   0             24m   10.129.3.117   worker-1   <none>           <none>
dx-deployment-web-engine-0                                   3/3     Running   0             19m   10.129.3.121   worker-1   <none>           <none>
