NAME                                                              TYPE                      DATA   AGE
builder-dockercfg-vmgcs                                           kubernetes.io/dockercfg   1      44d
custom-credentials-webengine-dbdomain-secret                      Opaque                    1      47h
custom-credentials-webengine-dbtype-secret                        Opaque                    1      47h
default-dockercfg-2lmp9                                           kubernetes.io/dockercfg   1      44d
deployer-dockercfg-qr8ht                                          kubernetes.io/dockercfg   1      44d
dx-custom-certs                                                   Opaque                    1      26d
dx-deployment-core-wps                                            Opaque                    2      24m
dx-deployment-image-processor-authentication                      Opaque                    1      24m
dx-deployment-peopleservice-database                              Opaque                    2      3d
dx-deployment-persistence-connection-pool-admin                   Opaque                    2      24m
dx-deployment-persistence-dam-user                                Opaque                    2      24m
dx-deployment-persistence-dam-user-previous-value                 Opaque                    2      24m
dx-deployment-persistence-replication                             Opaque                    2      24m
dx-deployment-persistence-replication-previous-value              Opaque                    2      24m
dx-deployment-persistence-user                                    Opaque                    2      24m
dx-deployment-persistence-user-previous-value                     Opaque                    2      24m
dx-deployment-runtime-controller-digit-c0fe4bd3-dockercfg-ptktz   kubernetes.io/dockercfg   1      24m
dx-deployment-web-engine-content-ai                               Opaque                    1      24m
dx-deployment-web-engine-dbdomain                                 Opaque                    1      24m
dx-deployment-web-engine-dbtype                                   Opaque                    1      24m
dx-deployment-web-engine-wps                                      Opaque                    2      24m
dx-tls-cert                                                       kubernetes.io/tls         2      44d
dx-truststore                                                     Opaque                    1      26d
ldap-credentials                                                  Opaque                    2      22d
pushcreadentials                                                  Opaque                    2      11d
search-admin-cert                                                 Opaque                    3      44d
search-client-cert                                                Opaque                    3      44d
search-node-cert                                                  Opaque                    3      44d
searchadmincreadentials                                           Opaque                    2      11d
sh.helm.release.v1.dx-deployment.v1                               helm.sh/release.v1        1      24m
sh.helm.release.v1.dx-deployment.v2                               helm.sh/release.v1        1      19m
web-engine-secret                                                 Opaque                    2      23d
